code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
4071,4071.T,プラスアルファ・コンサルティング,2026-06,OUT,2,52.22,58.65,True,True,6.43,2026-05,2622.0,2673.0,2673.0,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2288.0,-12.74,24.38,18.05,6.02,379.47,,,,2.25,30.99,29.79,27.27,21.51,41.12,14.4,22.8,5.01,4.9,,79.39,968.47,786.48,54.89,50.06,154.59,0.0,76.5,0.74,42.4,96.0,,,,2026-09-29,2026-09-29,tv_wilder_rsi14_sma5_v1,58.65,52.22,True,True,6.43
4088,4088.T,エア・ウォーター,2026-06,OUT,2,57.38,67.29,True,True,9.91,2026-05,2599.0,2767.0,2767.0,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2517.0,-3.16,14.75,11.88,1.51,1702.38,,,,2.87,42.97,-13.99,1.96,-5.99,6.15,2.1,,1.1,0.7,125.47,32.08,5904.87,10484.4,1075.83,206.11,871.39,5156.65,956.37,0.28,229.23,96.0,,,,2026-03-30,2026-03-30,tv_wilder_rsi14_sma5_v1,67.29,57.38,True,True,9.91
4099,4099.T,四国化成ホールディングス,2026-06,OUT,1,80.07,83.05,False,True,2.98,2026-06,3525.0,3525.0,3525.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,2791.0,-20.82,30.59,15.67,2.65,1116.41,,,,98.0,28.48,10.46,5.4,12.98,21.36,18.2,63.2,3.14,2.4,25.74,64.95,2554.3,2480.4,,,438.21,250.64,157.33,0.67,86.5,92.0,,,,2026-12-29,2026-12-29,tv_wilder_rsi14_sma5_v1,83.05,80.07,True,False,2.98
4100,4100.T,戸田工業,2026-06,OUT,2,51.57,53.08,True,False,1.51,2026-05,2020.0,1677.0,1677.0,-16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,1403.0,-30.54,,,,,,,,,,,,,,,,,,,19.09,,,,,,,,,,4.0,,,,,,tv_wilder_rsi14_sma5_v1,53.08,51.57,False,True,1.51
4109,4109.T,ステラ　ケミファ,2026-06,OUT,2,68.56,69.5,False,False,0.94,2026-05,6990.0,6580.0,6580.0,-5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,5170.0,-26.04,20.42,18.0,1.35,3918.05,,,,3.54,65.78,6.55,4.65,8.31,10.84,2.1,312.6,3.18,2.44,12.92,74.55,644.48,537.59,60.09,-2.59,148.17,62.11,75.34,0.5,12.21,100.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,69.5,68.56,False,False,0.94
4186,4186.T,東京応化工業,2026-06,OUT,2,76.69,78.69,False,True,2.01,2026-05,11010.0,11320.0,11320.0,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,8882.0,-19.33,31.66,45.08,2.57,3421.14,,,,90.0,25.88,5.54,3.95,6.13,8.28,92.9,8.2,4.04,3.15,,67.92,10551.24,3434.08,,,461.81,0.0,189.22,0.84,119.9,88.0,,,,2026-12-29,2026-12-29,tv_wilder_rsi14_sma5_v1,78.69,76.69,True,False,2.01
4187,4187.T,大阪有機化学工業,2026-06,OUT,2,67.07,71.84,True,True,4.76,2026-05,5740.0,5960.0,5960.0,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,4535.0,-20.99,12.61,27.96,1.82,2671.39,,,,1.73,21.57,15.93,7.5,20.16,23.64,23.4,64.6,3.67,2.68,1.92,78.01,987.37,862.79,60.46,43.37,171.06,10.63,105.62,1.01,20.34,100.0,,,,2026-11-27,2026-11-27,tv_wilder_rsi14_sma5_v1,71.84,67.07,True,True,4.76
4203,4203.T,住友ベークライト,2026-06,OUT,2,68.07,74.03,True,True,5.95,2026-05,6900.0,7454.0,7454.0,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,6513.0,-5.61,23.31,26.82,1.82,4097.18,,,,1.55,34.43,,,9.34,14.93,,,2.97,2.1,8.33,71.71,6526.64,5845.12,343.01,,1302.9,302.08,557.18,0.78,87.74,80.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,74.03,68.07,True,True,5.95
4216,4216.T,旭有機材,2026-06,OUT,4,69.2,77.28,True,True,8.08,2026-03,5560.0,7180.0,7180.0,29.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,6080.0,9.35,34.04,10.81,1.38,4359.27,,,,2.12,67.78,4.65,4.56,4.41,11.07,5.5,18.9,3.82,2.52,8.84,74.49,1130.79,985.2,,,245.38,73.07,113.69,0.28,18.78,92.0,,,,2026-09-29,2027-03-30,tv_wilder_rsi14_sma5_v1,77.28,69.2,True,True,8.08
4320,4320.T,ＣＥホールディングス,2026-06,OUT,2,81.61,85.74,True,True,4.13,2026-05,1669.0,1766.0,1766.0,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,1675.0,0.36,18.13,,3.52,489.58,,,,1.42,23.18,21.12,7.38,8.9,12.79,7.7,-39.8,2.24,2.15,22.7,65.16,286.99,235.88,33.8,31.3,70.83,19.77,21.93,0.69,16.68,96.0,,,,2026-09-29,2026-09-29,tv_wilder_rsi14_sma5_v1,85.74,81.61,True,True,4.13
