code,ticker,name,signal_month,status,months_active,rsi14,rsi5,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct
6324,6324.T,HARMONIC DRIVE SYSTEMS,2026-06,CONTINUE,8,74.21,83.31,9.1,2025-11,3090.0,7790.0,7790.0,109.39
4027,4027.T,TAYCA CORP,2026-06,CONTINUE,12,78.71,87.7,8.99,2025-07,1244.0,2360.0,2360.0,88.99
9468,9468.T,KADOKAWA CORPORATION,2026-06,CONTINUE,4,45.53,54.49,8.96,2026-03,3797.0,3461.0,3461.0,-3.95
3099,3099.T,ISETAN MITSUKOSHI HOLDINGS LTD,2026-06,CONTINUE,5,80.3,89.19,8.89,2026-02,3080.0,4118.0,4118.0,26.46
9009,9009.T,KEISEI ELECTRIC RAILWAY CO,2026-06,NEW,1,34.76,43.62,8.86,2026-06,1161.0,1161.0,1161.0,9.26
2594,2594.T,KEY COFFEE INC,2026-06,NEW,1,38.29,47.1,8.8,2026-06,1970.0,1970.0,1970.0,0.91
262A,262A.T,INTERMESTIC INC,2026-06,NEW,1,55.32,64.06,8.74,2026-06,2042.0,2042.0,2042.0,-10.92
6619,6619.T,W-SCOPE CORPORATION,2026-06,CONTINUE,3,42.83,51.5,8.67,2026-04,228.0,176.0,176.0,-30.7
2791,2791.T,DAIKOKUTENBUSSAN CO,2026-06,NEW,1,18.23,26.89,8.66,2026-06,4255.0,4255.0,4255.0,8.34
4714,4714.T,RISO KYOIKU GROUP CORP,2026-06,CONTINUE,7,30.63,39.29,8.66,2025-12,201.0,200.0,200.0,-1.49
4091,4091.T,NIPPON SANSO HOLDINGS CORPORATI,2026-06,CONTINUE,2,66.48,75.12,8.63,2026-05,6184.0,5996.0,5996.0,-2.81
7952,7952.T,KAWAI MUSICAL INSTRUMENT MANUF.,2026-06,CONTINUE,7,63.85,72.48,8.63,2025-12,2746.0,3215.0,3215.0,16.72
7309,7309.T,SHIMANO INC,2026-06,CONTINUE,7,34.78,43.36,8.58,2025-12,16535.0,17345.0,17345.0,13.43
6750,6750.T,ELECOM CO,2026-06,NEW,1,54.9,63.28,8.39,2026-06,1790.0,1790.0,1790.0,-0.28
7516,7516.T,KOHNAN SHOJI,2026-06,NEW,1,59.83,68.21,8.38,2026-06,4205.0,4205.0,4205.0,-0.71
9702,9702.T,ISB CORPORATION,2026-06,CONTINUE,3,86.32,94.69,8.36,2026-04,2148.0,2285.0,2285.0,1.82
5074,5074.T,TESS HOLDINGS CO LTD,2026-06,CONTINUE,5,72.74,81.06,8.32,2026-02,608.0,932.0,932.0,22.7
3994,3994.T,MONEY FORWARD INC,2026-06,NEW,1,50.61,58.8,8.2,2026-06,4371.0,4371.0,4371.0,22.03
9861,9861.T,YOSHINOYA HOLDINGS CO LTD,2026-06,CONTINUE,2,50.11,58.3,8.18,2026-05,3187.0,3132.0,3132.0,14.59
7447,7447.T,NAGAILEBEN CO,2026-06,NEW,1,36.07,44.2,8.13,2026-06,1749.0,1749.0,1749.0,0.17
2871,2871.T,NICHIREI CORP,2026-06,NEW,1,56.87,64.99,8.12,2026-06,2171.0,2171.0,2171.0,-1.64
2471,2471.T,S-POOL INC,2026-06,NEW,1,41.9,50.0,8.1,2026-06,257.0,257.0,257.0,5.84
2533,2533.T,OENON HOLDINGS INC,2026-06,NEW,1,51.72,59.68,7.96,2026-06,481.0,481.0,481.0,2.08
7038,7038.T,FRONTIER MANAGEMENT INC,2026-06,NEW,1,25.41,33.33,7.92,2026-06,545.0,545.0,545.0,1.47
4901,4901.T,FUJIFILM HOLDINGS CORPORATION,2026-06,NEW,1,60.04,67.93,7.9,2026-06,3483.0,3483.0,3483.0,4.31
9519,9519.T,RENOVA INC,2026-06,CONTINUE,3,62.43,70.22,7.78,2026-04,1111.0,985.0,985.0,-11.7
2501,2501.T,SAPPORO BREWERIES LTD,2026-06,NEW,1,65.33,72.95,7.62,2026-06,2030.0,2030.0,2030.0,0.74
2674,2674.T,HARD OFF CORPORATION CO LTD,2026-06,CONTINUE,11,76.64,84.24,7.6,2025-08,1793.0,2671.0,2671.0,53.21
6674,6674.T,GS YUASA CORP,2026-06,CONTINUE,2,82.06,89.62,7.56,2026-05,6560.0,6466.0,6466.0,-15.06
6254,6254.T,NOMURA MICRO SCIENCE CO LTD,2026-06,CONTINUE,3,71.8,79.18,7.38,2026-04,3655.0,4920.0,4920.0,5.34
8095,8095.T,ASTENA HOLDINGS CO LTD,2026-06,NEW,1,53.44,60.82,7.38,2026-06,499.0,499.0,499.0,2.2
9843,9843.T,NITORI HOLDINGS CO LTD,2026-06,CONTINUE,2,36.71,43.96,7.25,2026-05,2618.5,2414.5,2414.5,-6.09
3673,3673.T,BROADLEAF CO LTD,2026-06,CONTINUE,2,57.03,64.09,7.06,2026-05,469.0,392.0,392.0,-6.4
9433,9433.T,KDDI CORPORATION,2026-06,NEW,1,59.43,66.47,7.04,2026-06,2745.0,2745.0,2745.0,4.48
9278,9278.T,BOOKOFF GROUP HLDGS LTD,2026-06,CONTINUE,7,65.32,72.32,7.0,2025-12,1469.0,1935.0,1935.0,68.89
9107,9107.T,KAWASAKI KISEN KAISHA,2026-06,CONTINUE,5,65.71,72.7,6.99,2026-02,2513.0,2485.0,2485.0,8.38
5988,5988.T,PIOLAX INC,2026-06,CONTINUE,5,19.21,26.17,6.96,2026-02,1800.0,1564.0,1564.0,-7.39
4189,4189.T,KH NEOCHEM CO LTD,2026-06,CONTINUE,3,60.28,67.21,6.93,2026-04,2750.0,2966.0,2966.0,8.76
6752,6752.T,PANASONIC HOLDINGS CORP,2026-06,CONTINUE,8,93.14,100.0,6.86,2025-11,1961.5,4502.0,4502.0,103.57
3475,3475.T,GOOD COM ASSET CO LTD,2026-06,NEW,1,58.03,64.8,6.78,2026-06,1470.0,1470.0,1470.0,-0.14
6141,6141.T,DMG MORI CO LTD,2026-06,CONTINUE,4,60.35,67.09,6.73,2026-03,2366.0,3478.0,3478.0,43.24
9143,9143.T,SG HOLDINGS CO LTD,2026-06,CONTINUE,2,51.49,58.08,6.59,2026-05,1448.5,1543.0,1543.0,11.84
6963,6963.T,ROHM CO LTD,2026-06,CONTINUE,3,90.88,97.39,6.52,2026-04,3398.0,5384.0,5384.0,33.34
3436,3436.T,ＳＵＭＣＯ,2026-06,CONTINUE,3,87.38,93.89,6.51,2026-04,2476.0,4029.0,4029.0,58.08
4385,4385.T,メルカリ,2026-06,CONTINUE,7,77.69,84.19,6.51,2025-12,3170.0,4090.0,4090.0,45.62
3199,3199.T,WATAHAN CO LTD,2026-06,NEW,1,34.21,40.59,6.38,2026-06,1357.0,1357.0,1357.0,-0.88
2810,2810.T,HOUSE FOODS GROUP INC,2026-06,CONTINUE,2,84.68,91.05,6.37,2026-05,3417.0,3747.0,3747.0,14.14
3635,3635.T,KOEI TECMO HOLDINGS CO LTD,2026-06,NEW,1,20.6,26.92,6.32,2026-06,1514.5,1514.5,1514.5,3.93
2676,2676.T,TAKACHIHO KOHEKI CO,2026-06,NEW,1,58.04,64.27,6.23,2026-06,2153.0,2153.0,2153.0,-4.27
2659,2659.T,SAN-A CO LTD,2026-06,CONTINUE,6,61.81,67.96,6.15,2026-01,2946.0,3215.0,3215.0,8.11
7874,7874.T,LEC INC,2026-06,NEW,1,33.85,39.88,6.03,2026-06,925.0,925.0,925.0,3.24
6459,6459.T,DAIWA LTD,2026-06,CONTINUE,5,50.17,56.08,5.92,2026-02,1897.0,1635.0,1635.0,-14.44
4480,4480.T,MEDLEY INC,2026-06,CONTINUE,2,27.06,32.93,5.87,2026-05,2206.0,2022.0,2022.0,-6.17
4912,4912.T,LION CORP,2026-06,CONTINUE,2,48.56,54.28,5.72,2026-05,1619.5,1714.5,1714.5,5.65
7832,7832.T,BANDAI NAMCO HOLDINGS INC,2026-06,NEW,1,33.26,38.88,5.62,2026-06,3784.0,3784.0,3784.0,10.7
9742,9742.T,INES CORPORATION,2026-06,NEW,1,64.82,70.31,5.49,2026-06,2135.0,2135.0,2135.0,2.81
2264,2264.T,MORINAGA MILK INDUSTRY CO,2026-06,CONTINUE,15,80.41,85.86,5.45,2025-04,848.5,1267.5,1267.5,41.13
6036,6036.T,KEEPER TECHNICAL LABORATORY CO ,2026-06,NEW,1,29.18,34.63,5.44,2026-06,2716.0,2716.0,2716.0,4.9
2811,2811.T,KAGOME CO LTD,2026-06,CONTINUE,5,36.14,41.54,5.4,2026-02,2899.0,2638.5,2638.5,-5.21
7717,7717.T,V TECHNOLOGY,2026-06,CONTINUE,3,86.95,92.3,5.34,2026-04,4830.0,9100.0,9100.0,31.88
4324,4324.T,DENTSU GROUP INC,2026-06,NEW,1,52.24,57.56,5.32,2026-06,3097.0,3097.0,3097.0,13.21
6779,6779.T,NIHON DEMPA KOGYO,2026-06,CONTINUE,3,88.74,94.03,5.3,2026-04,1890.0,3425.0,3425.0,43.86
9790,9790.T,FUKUI COMPUTER HOLDINGS INC,2026-06,CONTINUE,3,40.25,45.54,5.29,2026-04,3290.0,3075.0,3075.0,-5.17
4053,4053.T,SUN INC,2026-06,CONTINUE,2,32.68,37.93,5.25,2026-05,445.0,425.0,425.0,2.7
6976,6976.T,TAIYO YUDEN CO LTD,2026-06,CONTINUE,3,88.98,94.23,5.25,2026-04,6392.0,20150.0,20150.0,72.64
4612,4612.T,NIPPON PAINT HOLDINGS CO LTD,2026-06,CONTINUE,3,48.38,53.59,5.21,2026-04,989.3,1053.0,1053.0,10.84
4307,4307.T,NOMURA RESEARCH INSTITUTE,2026-06,NEW,1,41.9,47.08,5.19,2026-06,4592.0,4592.0,4592.0,10.54
5408,5408.T,NAKAYAMA STEEL WORKS,2026-06,CONTINUE,5,35.79,40.91,5.11,2026-02,634.0,601.0,601.0,-2.68
8381,8381.T,SAN-IN GODO BANK,2026-06,CONTINUE,12,89.77,94.76,4.99,2025-07,1279.0,2279.0,2279.0,83.03
4088,4088.T,AIR WATER INC,2026-06,CONTINUE,2,69.52,74.49,4.97,2026-05,2599.0,2767.0,2767.0,-2.77
6237,6237.T,IWAKI CO LTD,2026-06,CONTINUE,3,72.12,77.03,4.91,2026-04,2714.0,3750.0,3750.0,62.31
8795,8795.T,T&D HOLDINGS INC,2026-06,CONTINUE,5,72.29,77.16,4.88,2026-02,4214.0,4807.0,4807.0,13.74
7419,7419.T,NOJIMA CORP,2026-06,NEW,1,64.55,69.4,4.85,2026-06,1325.0,1325.0,1325.0,0.98
9644,9644.T,TANABE CONSULTING GROUP CO LTD,2026-06,NEW,1,45.21,50.0,4.79,2026-06,743.0,743.0,743.0,1.21
6754,6754.T,ANRITSU CORP,2026-06,CONTINUE,2,81.22,85.96,4.74,2026-05,4547.0,4396.0,4396.0,-19.64
7458,7458.T,DAIICHIKOSHO CO,2026-06,NEW,1,52.97,57.6,4.62,2026-06,1712.0,1712.0,1712.0,4.7
8035,8035.T,TOKYO ELECTRON,2026-06,CONTINUE,3,81.68,86.28,4.6,2026-04,44390.0,77150.0,77150.0,46.65
3835,3835.T,EBASE CO LTD,2026-06,NEW,1,13.33,17.86,4.52,2026-06,400.0,400.0,400.0,6.25
3863,3863.T,NIPPON PAPER INDUSTRIES CO LTD,2026-06,CONTINUE,3,61.54,66.0,4.46,2026-04,1312.0,1276.0,1276.0,11.28
7004,7004.T,KANADEVIA CORPORATION,2026-06,CONTINUE,3,64.68,69.09,4.41,2026-04,1194.0,1269.0,1269.0,-1.76
2120,2120.T,LIFULL CO LTD,2026-06,CONTINUE,5,60.47,64.79,4.32,2026-02,216.0,196.0,196.0,-7.87
3608,3608.T,TSI HOLDINGS CO LTD,2026-06,CONTINUE,5,54.27,58.53,4.26,2026-02,1151.0,1155.0,1155.0,5.47
7552,7552.T,HAPPINET CORP,2026-06,NEW,1,55.37,59.62,4.25,2026-06,3010.0,3010.0,3010.0,3.16
6965,6965.T,HAMAMATSU PHOTONICS,2026-06,CONTINUE,6,71.66,75.82,4.16,2026-01,1712.0,2671.0,2671.0,34.46
9247,9247.T,TRE HLDGS CORP,2026-06,CONTINUE,2,68.39,72.53,4.14,2026-05,1651.0,2088.0,2088.0,29.38
9989,9989.T,SUNDRUG CO LTD,2026-06,NEW,1,27.86,32.0,4.14,2026-06,3805.0,3805.0,3805.0,1.63
2503,2503.T,KIRIN HOLDINGS COMPANY LIMITED,2026-06,CONTINUE,2,69.82,73.96,4.13,2026-05,2718.5,2810.5,2810.5,7.01
7433,7433.T,HAKUTO CO LTD,2026-06,CONTINUE,11,67.3,71.43,4.13,2025-08,3955.0,4555.0,4555.0,11.25
8132,8132.T,SHINANEN HOLDINGS CO LTD,2026-06,CONTINUE,2,50.94,55.03,4.09,2026-05,7600.0,6760.0,6760.0,-8.82
4536,4536.T,SANTEN PHARMACEUTICAL CO,2026-06,CONTINUE,2,72.87,76.91,4.04,2026-05,1915.5,2133.0,2133.0,6.63
9735,9735.T,SECOM CO,2026-06,CONTINUE,8,74.71,78.61,3.89,2025-11,5279.0,6456.0,6456.0,27.77
3697,3697.T,SHIFT INC,2026-06,NEW,1,30.92,34.78,3.86,2026-06,674.0,674.0,674.0,10.3
5186,5186.T,NITTA CORP,2026-06,CONTINUE,2,82.72,86.57,3.85,2026-05,5870.0,5900.0,5900.0,12.27
6616,6616.T,TOREX SEMICONDUCTOR LTD,2026-06,CONTINUE,3,73.67,77.49,3.82,2026-04,1973.0,2579.0,2579.0,-8.46
3769,3769.T,GMO PAYMENT GATEWAY INC,2026-06,NEW,1,52.24,55.97,3.73,2026-06,9280.0,9280.0,9280.0,6.59
6724,6724.T,SEIKO EPSON CORP,2026-06,CONTINUE,9,69.1,72.78,3.67,2025-10,1956.5,2697.0,2697.0,43.8
8697,8697.T,JAPAN EXCHANGE GROUP,2026-06,CONTINUE,2,63.99,67.62,3.63,2026-05,1951.0,2045.0,2045.0,9.79
2613,2613.T,J-OIL MILLS INC,2026-06,NEW,1,49.55,53.14,3.59,2026-06,2044.0,2044.0,2044.0,2.89
3086,3086.T,J FRONT RETAILING CO LTD,2026-06,NEW,1,77.61,81.17,3.56,2026-06,3617.0,3617.0,3617.0,-9.68
4956,4956.T,KONISHI CO LTD,2026-06,NEW,1,75.87,79.4,3.53,2026-06,1478.0,1478.0,1478.0,-2.44
2269,2269.T,MEIJI HOLDINGS CO LTD,2026-06,CONTINUE,8,56.67,60.1,3.43,2025-11,3369.0,3784.0,3784.0,13.15
4931,4931.T,SHINNIHONSEIYAKU CO LTD,2026-06,CONTINUE,2,31.32,34.75,3.42,2026-05,1907.0,1948.0,1948.0,6.97
3302,3302.T,TEIKOKU SEN-I CO,2026-06,NEW,1,67.18,70.56,3.38,2026-06,3405.0,3405.0,3405.0,-4.41
