code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
7943,7943.T,ニチハ,2022-12,CONTINUE,6,35.81,37.76,False,False,1.95,2022-07,2737.0,2656.0,2656.0,-2.96,,,,,,,,,,,,,,,,,,,,,,,
3156,3156.T,レスター,2022-12,CONTINUE,2,56.31,58.25,False,False,1.94,2022-11,2219.0,2058.0,2058.0,-7.26,,,,,,,,,,,,,,,,,,,,,,,
3288,3288.T,オープンハウスグループ,2022-12,CONTINUE,2,30.36,32.3,False,False,1.94,2022-11,5780.0,4820.0,4820.0,-16.61,,,,,,,,,,,,,,,,,,,,,,,
7951,7951.T,ヤマハ,2022-12,CONTINUE,7,26.65,28.57,False,False,1.92,2022-06,1866.67,1640.0,1640.0,-12.14,,,,,,,,,,,,,,,,,,,,,,,
547A,547A.T,ムニノバホールディングス,2022-12,CONTINUE,3,54.34,56.25,False,False,1.91,2022-10,405.0,397.0,397.0,-1.98,,,,,,,,,,,,,,,,,,,,,,,
6762,6762.T,ＴＤＫ,2022-12,CONTINUE,2,52.18,54.0,False,False,1.82,2022-11,976.0,867.0,867.0,-11.17,,,,,,,,,,,,,,,,,,,,,,,
3038,3038.T,神戸物産,2022-12,CONTINUE,4,48.47,50.23,False,False,1.76,2022-09,3495.0,3790.0,3790.0,8.44,,,,,,,,,,,,,,,,,,,,,,,
6289,6289.T,技研製作所,2022-12,CONTINUE,3,20.74,22.41,True,False,1.67,2022-10,3210.0,2901.0,2901.0,-9.63,,,,,,,,,,,,,,,,,,,,,,,
6745,6745.T,ホーチキ,2022-12,CONTINUE,7,61.76,63.41,False,False,1.65,2022-06,429.33,467.0,467.0,8.77,,,,,,,,,,,,,,,,,,,,,,,
8173,8173.T,Ｊｏｓｈｉｎ,2022-12,CONTINUE,9,30.91,32.54,True,False,1.64,2022-04,1990.0,1941.0,1941.0,-2.46,,,,,,,,,,,,,,,,,,,,,,,
