code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
3788,3788.T,GMOｸﾞﾛｰﾊﾞﾙｻｲﾝ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,2026-03,OUT,9,33.2,39.91,False,False,6.71,2025-07,2295.0,1903.0,1903.0,-17.08,,,,,,,,,,,,,,,2026-04,1907.0,-16.91,,,,,,,,,,,,,,,,,,,,,,,,,,
3836,3836.T,アバントグループ,2026-03,OUT,6,25.68,29.31,False,False,3.62,2025-10,1586.0,1281.0,1281.0,-19.23,,,,,,,,,,,,,,,2026-04,1288.0,-18.79,,,,,,,,,,,,,,,,,,,,,,,,,,
3844,3844.T,コムチュア,2026-03,OUT,4,20.78,31.87,True,False,11.09,2025-12,1710.0,1447.0,1447.0,-15.38,,,,,,,,,,,,,,,2026-04,1361.0,-20.41,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,3880.T,大王製紙,2026-03,OUT,5,58.29,68.68,False,False,10.39,2025-11,956.0,1023.0,1023.0,7.01,,,,,,,,,,,,,,,2026-04,953.0,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
3941,3941.T,レンゴー,2026-03,OUT,10,65.03,67.21,False,False,2.18,2025-06,781.4,1257.5,1257.5,60.93,,,,,,,,,,,,,,,2026-04,1228.5,57.22,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,3950.T,ザ・パック,2026-03,OUT,9,61.97,80.65,False,False,18.67,2025-07,1135.0,1315.0,1315.0,15.86,,,,,,,,,,,,,,,2026-04,1304.0,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,
3964,3964.T,オークネット,2026-03,OUT,2,84.01,84.67,False,False,0.66,2026-02,1218.5,1188.0,1188.0,-2.5,,,,,,,,,,,,,,,2026-04,1208.0,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,
4008,4008.T,住友精化,2026-03,OUT,7,62.29,65.31,False,False,3.02,2025-09,951.0,1182.0,1182.0,24.29,,,,,,,,,,,,,,,2026-04,1197.0,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,4021.T,日産化学,2026-03,OUT,9,62.57,62.62,False,False,0.05,2025-07,4942.0,5995.0,5995.0,21.31,,,,,,,,,,,,,,,2026-04,6775.0,37.09,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,4045.T,東亞合成,2026-03,OUT,10,62.97,64.61,False,False,1.64,2025-06,1397.5,1707.5,1707.5,22.18,,,,,,,,,,,,,,,2026-04,1702.5,21.82,,,,,,,,,,,,,,,,,,,,,,,,,,
4046,4046.T,大阪ソーダ,2026-03,OUT,10,50.6,52.07,False,False,1.46,2025-06,1797.0,1707.0,1707.0,-5.01,,,,,,,,,,,,,,,2026-04,1871.0,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,
4047,4047.T,関東電化工業,2026-03,OUT,7,63.19,63.2,False,False,0.01,2025-09,959.0,1347.0,1347.0,40.46,,,,,,,,,,,,,,,2026-04,1671.0,74.24,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,4053.T,SUN ASTERISK,2026-03,OUT,3,25.24,50.62,True,True,25.39,2026-01,453.0,435.0,435.0,-3.97,,,,,,,,,,,,,,,2026-04,419.0,-7.51,,,,,,,,,,,,,,,,,,,,,,,,,,
4095,4095.T,日本パーカライジング,2026-03,OUT,2,60.3,63.17,False,False,2.87,2026-02,1598.0,1447.0,1447.0,-9.45,,,,,,,,,,,,,,,2026-04,1446.0,-9.51,,,,,,,,,,,,,,,,,,,,,,,,,,
4097,4097.T,高圧ガス工業,2026-03,OUT,2,69.24,69.35,False,False,0.11,2026-02,1140.0,1100.0,1100.0,-3.51,,,,,,,,,,,,,,,2026-04,1100.0,-3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
4118,4118.T,カネカ,2026-03,OUT,12,67.33,67.84,False,False,0.51,2025-04,3486.0,4795.0,4795.0,37.55,,,,,,,,,,,,,,,2026-04,4897.0,40.48,,,,,,,,,,,,,,,,,,,,,,,,,,
4151,4151.T,協和キリン,2026-03,OUT,2,56.08,59.23,False,False,3.15,2026-02,2885.0,2578.0,2578.0,-10.64,,,,,,,,,,,,,,,2026-04,2362.0,-18.13,,,,,,,,,,,,,,,,,,,,,,,,,,
4188,4188.T,三菱ケミカルグループ,2026-03,OUT,11,55.5,57.54,False,False,2.04,2025-05,770.6,899.0,899.0,16.66,,,,,,,,,,,,,,,2026-04,911.7,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,4208.T,ＵＢＥ,2026-03,OUT,11,54.51,57.5,False,False,2.99,2025-05,2263.0,2431.0,2431.0,7.42,,,,,,,,,,,,,,,2026-04,2366.5,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,
4218,4218.T,ニチバン,2026-03,OUT,3,37.01,43.73,False,False,6.72,2026-01,1963.0,1876.0,1876.0,-4.43,,,,,,,,,,,,,,,2026-04,1817.0,-7.44,,,,,,,,,,,,,,,,,,,,,,,,,,
4272,4272.T,日本化薬,2026-03,OUT,6,68.53,70.47,False,False,1.94,2025-10,1409.5,1755.5,1755.5,24.55,,,,,,,,,,,,,,,2026-04,1727.5,22.56,,,,,,,,,,,,,,,,,,,,,,,,,,
4290,4290.T,プレステージ・インターナショナル,2026-03,OUT,2,45.91,52.82,False,False,6.91,2026-02,702.0,671.0,671.0,-4.42,,,,,,,,,,,,,,,2026-04,665.0,-5.27,,,,,,,,,,,,,,,,,,,,,,,,,,
4318,4318.T,クイック,2026-03,OUT,16,56.37,57.34,False,False,0.97,2024-12,761.0,837.0,837.0,9.99,,,,,,,,,,,,,,,2026-04,841.0,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,
4324,4324.T,電通グループ,2026-03,OUT,7,36.48,37.19,False,False,0.72,2025-09,3238.0,2699.0,2699.0,-16.65,,,,,,,,,,,,,,,2026-04,2986.0,-7.78,,,,,,,,,,,,,,,,,,,,,,,,,,
4403,4403.T,日油,2026-03,OUT,2,70.92,72.04,True,False,1.13,2026-02,3138.0,3101.0,3101.0,-1.18,,,,,,,,,,,,,,,2026-04,3210.0,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,
4471,4471.T,三洋化成工業,2026-03,OUT,9,62.53,64.0,False,False,1.47,2025-07,3965.0,4970.0,4970.0,25.35,,,,,,,,,,,,,,,2026-04,4990.0,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,4480.T,メドレー,2026-03,OUT,3,26.0,38.66,False,True,12.65,2026-01,2387.0,1900.0,1900.0,-20.4,,,,,,,,,,,,,,,2026-04,2252.0,-5.66,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,4503.T,アステラス製薬,2026-03,OUT,9,85.68,92.29,False,False,6.61,2025-07,1578.5,2519.0,2519.0,59.58,,,,,,,,,,,,,,,2026-04,2232.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,4507.T,塩野義製薬,2026-03,OUT,4,83.08,84.75,False,False,1.67,2025-12,2841.0,3469.0,3469.0,22.1,,,,,,,,,,,,,,,2026-04,3170.0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,4519.T,中外製薬,2026-03,OUT,5,58.73,64.17,False,False,5.43,2025-11,8374.0,8611.0,8611.0,2.83,,,,,,,,,,,,,,,2026-04,8116.0,-3.08,,,,,,,,,,,,,,,,,,,,,,,,,,
4523,4523.T,エーザイ,2026-03,OUT,1,53.14,56.8,False,True,3.66,2026-03,4871.0,4871.0,4871.0,0.0,,,,,,,,,,,,,,,2026-04,4687.0,-3.78,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,4527.T,ロート製薬,2026-03,OUT,9,44.47,52.01,True,True,7.54,2025-07,2174.0,2407.5,2407.5,10.74,,,,,,,,,,,,,,,2026-04,2300.5,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,
4528,4528.T,小野薬品工業,2026-03,OUT,12,78.85,81.14,False,False,2.29,2025-04,1642.0,2510.5,2510.5,52.89,,,,,,,,,,,,,,,2026-04,2306.0,40.44,,,,,,,,,,,,,,,,,,,,,,,,,,
4534,4534.T,持田製薬,2026-03,OUT,7,51.72,66.82,False,False,15.1,2025-09,3175.0,3460.0,3460.0,8.98,,,,,,,,,,,,,,,2026-04,3365.0,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,
4536,4536.T,参天製薬,2026-03,OUT,4,60.51,100.0,True,True,39.49,2025-12,1626.0,1785.5,1785.5,9.81,,,,,,,,,,,,,,,2026-04,1616.0,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,
4540,4540.T,ツムラ,2026-03,OUT,6,35.7,58.07,False,False,22.37,2025-10,3575.0,3746.0,3746.0,4.78,,,,,,,,,,,,,,,2026-04,3651.0,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,
4547,4547.T,キッセイ薬品工業,2026-03,OUT,2,59.2,70.36,False,False,11.16,2026-02,5010.0,4650.0,4650.0,-7.19,,,,,,,,,,,,,,,2026-04,4375.0,-12.67,,,,,,,,,,,,,,,,,,,,,,,,,,
4554,4554.T,富士製薬工業,2026-03,OUT,9,83.98,96.36,True,False,12.39,2025-07,1406.0,2368.0,2368.0,68.42,,,,,,,,,,,,,,,2026-04,2192.0,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,
4569,4569.T,杏林製薬,2026-03,OUT,5,60.43,80.0,False,False,19.57,2025-11,1515.0,1645.0,1645.0,8.58,,,,,,,,,,,,,,,2026-04,1551.0,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,4574.T,大幸薬品,2026-03,OUT,10,45.3,60.42,False,True,15.12,2025-06,309.0,295.0,295.0,-4.53,,,,,,,,,,,,,,,2026-04,292.0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,4577.T,ダイト,2026-03,OUT,10,76.63,84.35,False,False,7.72,2025-06,997.0,1446.0,1446.0,45.04,,,,,,,,,,,,,,,2026-04,1261.0,26.48,,,,,,,,,,,,,,,,,,,,,,,,,,
4587,4587.T,ペプチドリーム,2026-03,OUT,6,25.4,27.46,True,False,2.06,2025-10,1559.5,1197.5,1197.5,-23.21,,,,,,,,,,,,,,,2026-04,1151.0,-26.19,,,,,,,,,,,,,,,,,,,,,,,,,,
4634,4634.T,ａｒｔｉｅｎｃｅ,2026-03,OUT,9,61.99,65.62,False,False,3.62,2025-07,3230.0,3740.0,3740.0,15.79,,,,,,,,,,,,,,,2026-04,3910.0,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,4665.T,ダスキン,2026-03,OUT,5,66.31,83.22,False,True,16.91,2025-11,4033.0,4208.0,4208.0,4.34,,,,,,,,,,,,,,,2026-04,3947.0,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,4668.T,明光ネットワークジャパン,2026-03,OUT,1,42.25,51.72,False,True,9.48,2026-03,706.0,706.0,706.0,0.0,,,,,,,,,,,,,,,2026-04,685.0,-2.97,,,,,,,,,,,,,,,,,,,,,,,,,,
