code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30
6143,6143.T,ソディック,2025-01,NEW,1,60.26,61.99,True,True,1.73,2025-01,829.0,829.0,829.0,0.0,758.84,751.19,740.23,True,True,True,True,True,False,True,186787.0
4443,4443.T,Ｓａｎｓａｎ,2025-01,NEW,1,68.38,70.1,False,True,1.72,2025-01,2440.0,2440.0,2440.0,0.0,2325.12,2238.47,2018.31,True,True,True,True,True,True,True,799287.0
5975,5975.T,東プレ,2025-01,NEW,1,47.57,49.22,False,True,1.65,2025-01,1904.0,1904.0,1904.0,0.0,1926.76,1881.25,2022.4,False,True,False,False,False,True,False,58270.0
4725,4725.T,ＣＡＣＨｏｌｄｉｎｇｓ,2025-01,NEW,1,48.36,50.0,True,True,1.64,2025-01,1762.0,1762.0,1762.0,0.0,1702.48,1722.92,1811.7,True,True,False,False,False,False,False,48133.0
6390,6390.T,加藤製作所,2025-01,CONTINUE,2,53.38,55.01,False,False,1.63,2024-12,1416.0,1330.0,1330.0,-6.07,,,,,,,,,,,
7649,7649.T,スギホールディングス,2025-01,NEW,1,63.62,65.23,True,True,1.62,2025-01,2700.5,2700.5,2700.5,0.0,2535.94,2561.93,2489.91,True,True,True,False,True,False,True,593193.0
7962,7962.T,キングジム,2025-01,NEW,1,48.47,50.0,True,True,1.53,2025-01,864.0,864.0,864.0,0.0,852.4,854.69,865.62,True,True,False,False,False,True,False,19443.0
9697,9697.T,カプコン,2025-01,NEW,1,68.17,69.59,True,True,1.42,2025-01,3557.0,3557.0,3557.0,0.0,3390.96,3369.2,3124.36,True,True,True,True,False,True,True,1302900.0
6535,6535.T,アイモバイル,2025-01,CONTINUE,2,53.89,55.29,False,False,1.4,2024-12,504.0,484.0,484.0,-3.97,,,,,,,,,,,
6702,6702.T,富士通,2025-01,NEW,1,74.11,75.51,True,True,1.4,2025-01,3018.0,3018.0,3018.0,0.0,2787.94,2843.2,2671.13,True,True,True,False,False,False,True,4905510.0
3180,3180.T,ビューティガレージ,2025-01,NEW,1,24.14,25.46,False,False,1.32,2025-01,1374.0,1374.0,1374.0,0.0,1356.6,1408.48,1587.34,True,False,False,False,True,False,False,52897.0
6632,6632.T,ＪＶＣケンウッド,2025-01,CONTINUE,5,80.67,81.99,False,False,1.32,2024-09,1345.0,1800.0,1800.0,33.83,,,,,,,,,,,
4912,4912.T,ライオン,2025-01,CONTINUE,6,69.69,70.98,True,False,1.28,2024-08,1484.5,1663.0,1663.0,12.02,,,,,,,,,,,
7269,7269.T,スズキ,2025-01,NEW,1,67.14,68.38,True,True,1.24,2025-01,1869.0,1869.0,1869.0,0.0,1813.62,1679.56,1720.72,True,True,True,False,True,True,True,5676787.0
1301,1301.T,極洋,2025-01,NEW,1,55.9,57.08,True,True,1.18,2025-01,4135.0,4135.0,4135.0,0.0,4014.8,4045.87,3973.9,True,True,True,False,True,False,True,23890.0
2804,2804.T,ブルドックソース,2025-01,NEW,1,27.33,28.48,False,True,1.15,2025-01,1752.0,1752.0,1752.0,0.0,1765.32,1787.59,1883.36,False,False,False,False,False,True,False,16033.0
6523,6523.T,ＰＨＣホールディングス,2025-01,NEW,1,28.45,29.59,True,True,1.14,2025-01,1041.0,1041.0,1041.0,0.0,975.84,978.28,1069.64,True,True,False,False,True,False,False,214307.0
6859,6859.T,エスペック,2025-01,NEW,1,55.24,56.34,False,True,1.1,2025-01,2601.0,2601.0,2601.0,0.0,2622.68,2638.17,2771.86,False,False,False,False,False,True,False,38710.0
4188,4188.T,三菱ケミカルグループ,2025-01,NEW,1,36.79,37.88,False,True,1.09,2025-01,794.5,794.5,794.5,0.0,786.66,808.78,851.72,True,False,False,False,False,False,False,4788650.0
8273,8273.T,イズミ,2025-01,NEW,1,41.88,42.95,True,True,1.07,2025-01,1042.0,1042.0,1042.0,0.0,1030.83,1056.32,1110.97,True,False,False,False,False,False,False,360780.0
8601,8601.T,大和証券グループ本社,2025-01,NEW,1,62.02,63.07,False,True,1.05,2025-01,1131.0,1131.0,1131.0,0.0,1037.72,1032.2,1098.79,True,True,True,False,True,True,False,4091670.0
7818,7818.T,トランザクション,2025-01,CONTINUE,5,46.5,47.54,False,False,1.04,2024-09,1165.0,967.5,967.5,-16.95,,,,,,,,,,,
9468,9468.T,ＫＡＤＯＫＡＷＡ,2025-01,CONTINUE,7,55.87,56.89,True,True,1.01,2024-07,2784.0,3288.0,3288.0,18.1,,,,,,,,,,,
3864,3864.T,三菱製紙,2025-01,NEW,1,54.05,55.04,True,True,1.0,2025-01,608.0,608.0,608.0,0.0,579.0,515.87,600.54,True,True,True,False,True,True,False,750183.0
2931,2931.T,ユーグレナ,2025-01,NEW,1,11.06,12.04,False,True,0.98,2025-01,415.0,415.0,415.0,0.0,414.96,413.95,476.43,True,True,False,False,True,False,False,1148293.0
8425,8425.T,みずほリース,2025-01,NEW,1,52.05,53.03,False,True,0.98,2025-01,1019.0,1019.0,1019.0,0.0,1024.0,1015.15,1049.19,False,True,False,False,True,True,False,422180.0
5269,5269.T,日本コンクリート工業,2025-01,NEW,1,56.09,56.99,False,True,0.9,2025-01,374.0,374.0,374.0,0.0,367.12,357.93,363.5,True,True,True,False,False,True,False,91030.0
9946,9946.T,ミニストップ,2025-01,NEW,1,67.83,68.72,True,True,0.89,2025-01,1726.0,1726.0,1726.0,0.0,1674.52,1714.56,1658.22,True,True,True,False,False,True,True,68610.0
6445,6445.T,ジャノメ,2025-01,CONTINUE,6,72.81,73.7,False,False,0.88,2024-08,831.0,1004.0,1004.0,20.82,,,,,,,,,,,
8035,8035.T,東京エレクトロン,2025-01,NEW,1,52.93,53.71,False,True,0.79,2025-01,26205.0,26205.0,26205.0,0.0,25748.4,24238.0,28637.55,True,True,False,False,True,True,False,3945423.0
2154,2154.T,オープンアップグループ,2025-01,NEW,1,41.02,41.8,False,True,0.78,2025-01,1889.0,1889.0,1889.0,0.0,1816.08,1861.8,1959.15,True,True,False,False,True,False,False,212327.0
7245,7245.T,大同メタル工業,2025-01,NEW,1,42.91,43.67,False,True,0.76,2025-01,506.0,506.0,506.0,0.0,504.36,490.8,541.42,True,True,False,False,True,True,False,108710.0
8150,8150.T,三信電気,2025-01,NEW,1,37.4,38.16,False,True,0.76,2025-01,1953.0,1953.0,1953.0,0.0,1927.28,1943.6,2036.51,True,True,False,False,True,False,False,22380.0
