code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
6571,6571.T,キュービーネットホールディングス,2023-05,OUT,7,48.86,66.92,True,True,18.06,2022-11,1493.0,1477.0,1477.0,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1476.0,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
6620,6620.T,宮越ホールディングス,2023-05,OUT,1,39.5,50.58,False,True,11.08,2023-05,730.0,730.0,730.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,851.0,16.58,,,,,,,,,,,,,,,,,,,,,,,,,,
6728,6728.T,アルバック,2023-05,OUT,1,45.61,52.21,False,True,6.6,2023-05,5670.0,5670.0,5670.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,6092.0,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,
6740,6740.T,ジャパンディスプレイ,2023-05,OUT,1,43.59,50.0,False,True,6.41,2023-05,38.0,38.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,39.0,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,
6753,6753.T,シャープ,2023-05,OUT,7,31.18,34.54,False,False,3.37,2022-11,973.0,800.0,800.0,-17.78,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,803.9,-17.38,,,,,,,,,,,,,,,,,,,,,,,,,,
6770,6770.T,アルプスアルパイン,2023-05,OUT,1,50.87,58.06,False,True,7.19,2023-05,1232.0,1232.0,1232.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1257.0,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,
6785,6785.T,鈴木,2023-05,OUT,1,57.71,61.35,False,False,3.64,2023-05,906.0,906.0,906.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,942.0,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,
6787,6787.T,メイコー,2023-05,OUT,4,37.19,51.82,False,True,14.62,2023-02,2767.0,2449.0,2449.0,-11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2695.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
6788,6788.T,日本トリム,2023-05,OUT,11,56.41,58.11,True,False,1.7,2022-07,2467.0,2795.0,2795.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3465.0,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,
6794,6794.T,フォスター電機,2023-05,OUT,10,60.58,61.35,False,False,0.77,2022-08,779.0,949.0,949.0,21.82,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,934.0,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,
